,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,pk_rolling,pkatt_rolling,Win
0,1,16,15,5,0.0,3.0,9.666666666666666,2.333333333333333,14.833333333333334,0.0,0.0,1
1,0,5,15,5,0.3333333333333333,2.333333333333333,12.333333333333334,3.0,14.133333333333333,0.0,0.0,1
2,1,19,16,6,0.6666666666666666,1.6666666666666667,14.666666666666666,3.0,14.8,0.0,0.0,1
3,0,4,17,5,1.6666666666666667,0.3333333333333333,18.33333333333333,5.333333333333333,18.433333333333334,0.0,0.0,0
4,1,7,20,0,1.3333333333333333,0.3333333333333333,11.0,4.0,19.83333333333333,0.0,0.0,0
5,1,1,20,4,1.6666666666666667,1.0,12.333333333333334,5.0,18.8,0.0,0.0,1
6,0,11,12,5,1.6666666666666667,1.0,15.333333333333334,5.333333333333333,18.666666666666668,0.0,0.3333333333333333,1
7,1,20,14,6,2.333333333333333,1.0,15.666666666666666,6.333333333333333,17.200000000000003,0.0,0.3333333333333333,1
8,0,12,17,5,2.0,0.3333333333333333,14.333333333333334,6.0,18.366666666666664,0.0,0.6666666666666666,0
9,1,15,12,5,1.0,1.3333333333333333,9.0,4.333333333333333,19.23333333333333,0.0,0.3333333333333333,1
10,0,14,20,3,1.0,1.3333333333333333,14.0,4.666666666666667,19.6,0.0,0.3333333333333333,0
11,0,8,20,0,1.3333333333333333,2.333333333333333,15.333333333333334,5.333333333333333,18.066666666666663,0.0,0.0,0
12,1,18,15,5,1.6666666666666667,1.6666666666666667,17.0,5.333333333333333,16.8,0.0,0.0,1
13,1,21,20,2,2.0,1.6666666666666667,14.0,5.0,16.099999999999998,0.0,0.0,1
14,0,10,17,5,2.0,0.6666666666666666,15.0,5.0,17.133333333333336,0.0,0.3333333333333333,1
15,0,16,15,6,3.0,0.3333333333333333,18.666666666666668,8.0,17.333333333333332,0.0,0.3333333333333333,1
16,1,13,12,5,3.6666666666666665,0.3333333333333333,18.666666666666668,8.0,18.0,0.3333333333333333,0.6666666666666666,0
17,1,5,14,6,3.333333333333333,1.0,14.333333333333334,6.333333333333333,16.666666666666668,0.3333333333333333,0.3333333333333333,0
18,0,22,19,3,2.0,0.6666666666666666,14.0,4.0,17.366666666666667,0.3333333333333333,0.3333333333333333,1
19,1,3,15,5,0.6666666666666666,0.6666666666666666,13.0,3.0,17.200000000000003,0.0,0.0,1
20,1,22,19,3,1.0,0.3333333333333333,18.666666666666668,4.666666666666667,17.333333333333332,0.0,0.0,1
21,0,20,14,6,1.6666666666666667,0.6666666666666666,20.666666666666668,4.666666666666667,16.266666666666666,0.0,0.0,1
22,1,11,16,6,2.333333333333333,1.3333333333333333,22.0,5.333333333333333,16.3,0.0,0.0,1
23,1,12,20,2,2.333333333333333,1.0,20.666666666666668,5.0,16.366666666666667,0.3333333333333333,0.3333333333333333,0
24,0,1,12,5,1.6666666666666667,1.3333333333333333,15.0,4.0,18.666666666666668,0.3333333333333333,0.3333333333333333,1
25,0,7,20,0,1.0,0.6666666666666666,13.0,3.6666666666666665,19.4,0.3333333333333333,0.3333333333333333,0
26,1,4,15,5,0.3333333333333333,1.6666666666666667,10.333333333333334,2.6666666666666665,20.166666666666668,0.0,0.0,0
27,0,18,15,5,0.6666666666666666,1.6666666666666667,14.0,3.333333333333333,18.23333333333333,0.0,0.0,0
28,0,6,19,2,0.3333333333333333,2.0,18.33333333333333,4.333333333333333,17.833333333333332,0.0,0.0,1
29,1,14,12,5,1.6666666666666667,1.6666666666666667,18.666666666666668,4.333333333333333,18.166666666666668,0.3333333333333333,0.3333333333333333,1
30,0,21,16,6,2.333333333333333,1.3333333333333333,16.333333333333332,5.0,19.03333333333333,0.6666666666666666,0.6666666666666666,1
31,1,10,14,6,3.0,1.3333333333333333,13.0,5.333333333333333,19.36666666666667,0.6666666666666666,0.6666666666666666,1
32,0,19,19,3,2.333333333333333,1.0,15.0,7.333333333333333,17.633333333333336,0.3333333333333333,0.3333333333333333,0
33,0,15,20,0,1.3333333333333333,1.6666666666666667,13.666666666666666,7.0,19.200000000000003,0.0,0.0,0
34,1,8,16,6,0.6666666666666666,2.0,13.0,5.333333333333333,19.8,0.0,0.0,1
35,0,7,20,4,1.6666666666666667,2.0,15.0,5.0,20.700000000000003,0.3333333333333333,0.3333333333333333,1
36,1,11,15,5,2.333333333333333,1.0,15.333333333333334,4.0,17.566666666666666,0.3333333333333333,0.3333333333333333,1
37,0,2,17,5,3.6666666666666665,1.0,18.0,5.666666666666667,14.866666666666667,0.3333333333333333,0.3333333333333333,1
38,1,9,17,5,3.0,0.6666666666666666,14.333333333333334,5.0,14.133333333333336,0.0,0.0,1
39,1,1,19,2,3.0,1.0,18.33333333333333,7.0,14.433333333333335,0.0,0.0,1
40,0,14,16,6,2.333333333333333,0.6666666666666666,19.33333333333333,7.333333333333333,15.533333333333331,0.0,0.0,0
41,0,3,12,6,1.6666666666666667,1.6666666666666667,20.0,6.333333333333333,16.8,0.0,0.0,1
42,1,19,12,5,2.0,1.3333333333333333,17.0,6.0,17.700000000000003,0.0,0.0,1
43,1,12,16,6,2.333333333333333,1.3333333333333333,17.0,6.333333333333333,18.46666666666667,0.0,0.0,1
44,0,10,14,6,3.0,1.0,15.0,7.333333333333333,17.033333333333335,0.3333333333333333,0.3333333333333333,1
45,0,18,14,6,2.333333333333333,1.0,13.666666666666666,6.333333333333333,16.500000000000004,0.3333333333333333,0.3333333333333333,0
